epoch,train_loss,val_loss,val_oa,val_miou,val_dice,val_precision,val_recall
266,0.1137,1.3212,0.6640,0.3352,0.4409,0.4841,0.4418
267,0.1049,1.4523,0.6444,0.3250,0.4352,0.4779,0.4353
268,0.1050,1.5033,0.6277,0.3145,0.4232,0.4761,0.4251
269,0.1080,1.7656,0.5727,0.2773,0.3815,0.4180,0.3918
270,0.1073,1.5327,0.6169,0.2952,0.3944,0.4342,0.4040
271,0.1097,1.5873,0.6198,0.2914,0.3899,0.4447,0.3952
272,0.1031,1.2842,0.6660,0.3474,0.4609,0.5538,0.4506
273,0.1078,1.5865,0.6189,0.3005,0.4030,0.4740,0.4020
274,0.1150,1.4954,0.6336,0.3223,0.4306,0.4844,0.4277
275,0.1011,1.3568,0.6601,0.3281,0.4301,0.4583,0.4353
276,0.1007,1.3872,0.6415,0.3158,0.4226,0.4386,0.4332
277,0.0980,1.5456,0.6149,0.2955,0.3974,0.4297,0.4094
278,0.0981,1.4722,0.6405,0.3076,0.4023,0.4290,0.4092
279,0.1062,1.6351,0.6090,0.2933,0.3922,0.4419,0.3938
280,0.1032,1.4106,0.6503,0.3184,0.4196,0.4737,0.4236
281,0.0967,1.4886,0.6287,0.3096,0.4188,0.4591,0.4235
282,0.0904,1.5131,0.6169,0.3117,0.4207,0.4760,0.4265
283,0.0947,1.4648,0.6267,0.3151,0.4285,0.4991,0.4354
284,0.0850,1.6491,0.5982,0.2892,0.3938,0.4332,0.4071
285,0.1021,1.4275,0.6208,0.3129,0.4203,0.4363,0.4315
286,0.0989,1.8160,0.5530,0.2739,0.3786,0.4448,0.3878
287,0.1139,1.5738,0.6179,0.3047,0.4092,0.4720,0.4126
288,0.1047,1.5272,0.6218,0.2932,0.3960,0.4653,0.4007
289,0.1090,1.3794,0.6365,0.3208,0.4286,0.4446,0.4414
290,0.1098,1.8478,0.5550,0.2872,0.3894,0.4518,0.3934
291,0.1074,2.2263,0.5049,0.2508,0.3565,0.4168,0.3682
292,0.1112,1.5411,0.6228,0.3091,0.4182,0.4427,0.4287
293,0.0936,1.5626,0.6238,0.3056,0.4061,0.4584,0.4128
294,0.1056,1.6118,0.6012,0.2884,0.3913,0.4154,0.4061
295,0.0934,1.4027,0.6523,0.3181,0.4255,0.4523,0.4314
296,0.0924,1.4840,0.6189,0.3112,0.4240,0.4605,0.4328
297,0.1028,1.5118,0.6277,0.3159,0.4242,0.4556,0.4290
298,0.0940,1.5107,0.6326,0.3209,0.4304,0.4787,0.4300
299,0.0834,1.4895,0.6444,0.3234,0.4282,0.4678,0.4276
300,0.0917,1.4111,0.6483,0.3206,0.4284,0.4573,0.4325
